Sample,Formulation,Peak
1,76,30
2,76,30
3,76,30
4,76,30
1,86,40
2,86,40
3,86,40
4,86,40
1,93,40
2,93,40
3,93,40
1,102,50
2,102,50
3,102,50
4,102,50
1,103,40
2,103,40
3,103,40
4,103,40
1,107,40
2,107,40
3,107,40
4,107,40
1,108,40
2,108,40
3,108,40
4,108,40
1,110,40
1,114,40
2,114,40
3,114,40
4,114,40
1,115,40
2,115,40
3,115,40
4,115,40
1,113,40
2,113,40
3,113,40
4,113,40
1,117,40
1,117,40
2,117,40
3,117,40
1,118,40
2,118,40
3,118,40
4,118,40
1,119,40
2,119,40
3,119,40
4,119,40
1,120,40
2,120,40
3,120,40
4,120,40
1,128,30
2,128,30
3,128,30
1,126,30
2,126,30
3,126,30
1,147,40
2,147,40
3,147,40
1,148,40
2,148,40
3,148,40
4,148,40
1,156,40
2,156,40
3,156,40
4,156,40
1,157,40
2,157,40
3,157,40
4,157,40
1,158,40
2,158,40
3,158,40
4,158,40
1,159,40
2,159,40
3,159,40
4,159,40
1,160,40
2,160,40
3,160,40
4,160,40
1,161,40
2,161,40
3,161,40
4,161,40
1,162,40
2,162,40
3,162,40
4,162,40
1,163,60
2,163,60
3,163,60
4,163,60
